1,Ezekiel Elliott,DAL,RB,322,21.5,1631,5.1,108.7,15,60T,91,28.3,14,3,5,20+,40+,Sck,Rate
2,Le'Veon Bell,PIT,RB,261,21.8,1268,4.9,106,7,44,69,26.4,4,1,3,70,10,27,101.7
3,Jordan Howard,CHI,RB,252,16.8,1313,5.2,88,6,69,70,27.8,10,2,1,69,17,37,117.1
4,Andre Williams,SD,RB,18,18,87,4.8,87,0,14,6,33.3,0,0,0,69,13,23,97.2
5,Jay Ajayi,MIA,RB,260,17.3,1272,4.9,85,8,62T,60,23.1,10,4,4,57,10,35,104.2
6,LeSean McCoy,BUF,RB,234,15.6,1267,5.4,85,13,75T,55,23.5,11,3,3,57,16,36,87.9
7,DeMarco Murray,TEN,RB,293,18.3,1287,4.4,80,9,75T,64,21.8,4,2,3,52,10,37,93.3
8,David Johnson,ARI,RB,293,18.3,1239,4.2,77,16,58T,72,24.6,6,2,5,40,11,33,83.5
9,Melvin Gordon,SD,RB,254,19.5,997,3.9,77,10,48,61,24,7,3,2,61,8,41,96.4
10,Lamar Miller,HOU,RB,268,19.1,1073,4,77,5,45,52,19.4,7,1,2,48,6,40,87.2
11,Carlos Hyde,SF,RB,217,16.7,988,4.6,76,6,47,48,22.1,7,2,4,51,11,41,92.6
12,LeGarrette Blount,NE,RB,299,18.7,1161,3.9,73,18,44,67,22.4,7,3,2,53,13,41,91.8
13,Eddie Lacy,GB,RB,71,14.2,360,5.1,72,0,31,15,21.1,4,0,0,43,4,35,86.1
14,Devonta Freeman,ATL,RB,227,14.2,1079,4.8,67,11,75T,61,26.9,7,2,1,46,11,21,86
15,Spencer Ware,KC,RB,214,15.3,921,4.3,66,3,46,47,22,3,2,3,50,8,16,96.7
16,Matt Jones,WAS,RB,99,14.1,460,4.6,66,3,57,28,28.3,3,1,3,43,4,34,78.8
17,Mark Ingram,NO,RB,205,12.8,1043,5.1,65,6,75T,49,23.9,4,2,2,49,8,37,99.3
18,Frank Gore,IND,RB,263,16.4,1025,3.9,64,4,22,50,19,1,0,2,59,8,17,95.4
19,Jonathan Stewart,CAR,RB,218,16.8,824,3.8,63,9,47,47,21.6,6,1,3,39,6,33,79.3
20,C.J. Anderson,DEN,RB,110,15.7,437,4,62,4,28,22,20,1,0,0,38,8,25,104.9
21,Isaiah Crowell,CLE,RB,198,12.4,952,4.8,60,7,85T,45,22.7,8,3,2,45,8,15,112.2
22,Matt Forte,NYJ,RB,218,15.6,813,3.7,58,7,32,35,16.1,5,0,1,42,8,36,75.8
23,Danny Woodhead,SD,RB,19,9.5,116,6.1,58,0,23,6,31.6,2,0,0,39,8,28,91.2
24,Latavius Murray,OAK,RB,195,13.9,788,4,56,12,42,52,26.7,5,1,2,50,7,23,95.6
25,Jacquizz Rodgers,TB,RB,129,12.9,560,4.3,56,2,45,29,22.5,3,1,0,37,8,31,84.6
26,Jeremy Hill,CIN,RB,222,14.8,839,3.8,56,9,74T,42,18.9,5,3,0,33,7,42,89.7
27,Todd Gurley,LA,RB,278,17.4,885,3.2,55,6,24T,48,17.3,2,0,2,37,11,29,93.5
28,Doug Martin,TB,RB,144,18,421,2.9,53,3,17,23,16,0,0,1,29,4,27,72.2
29,Ryan Mathews,PHI,RB,155,11.9,661,4.3,51,8,30,38,24.5,6,0,3,38,5,19,69.6
30,Ameer Abdullah,DET,RB,18,9,101,5.6,51,0,24,6,33.3,1,0,0,25,5,36,90.7
31,Terrance West,BAL,RB,193,12.1,774,4,48,5,41,35,18.1,5,1,2,31,8,23,76.4
32,Cameron Artis-Payne,CAR,RB,36,12,144,4,48,2,14,5,13.9,0,0,0,21,0,6,68.3
33,Rob Kelley,WAS,RB,168,11.2,704,4.2,47,6,66,29,17.3,4,2,0,13,1,4,98
34,Rashad Jennings,NYG,RB,181,13.9,593,3.3,46,3,25,29,16,3,0,0,17,4,21,92.3
35,Bilal Powell,NYJ,RB,131,8.2,722,5.5,45,3,35T,45,34.4,4,0,0,14,2,18,72.3
36,Dion Lewis,NE,RB,64,9.1,283,4.4,40,0,15,14,21.9,0,0,1,12,1,26,63.6
37,Tevin Coleman,ATL,RB,118,9.1,520,4.4,40,8,55T,24,20.3,5,1,1,15,3,17,78.1
38,Chris Ivory,JAX,RB,117,10.6,439,3.8,39.9,3,42,21,17.9,2,2,5,10,1,11,68.4
39,Thomas Rawls,SEA,RB,109,12.1,349,3.2,38.8,3,45T,21,19.3,1,1,0,9,3,22,72.5
40,Justin Forsett,DEN,RB,43,10.8,155,3.6,38.8,1,64,6,14,1,1,2,9,4,13,60
41,Mike Gillislee,BUF,RB,101,6.7,577,5.7,38.5,8,44T,39,38.6,7,1,0,9,4,1,105.6
42,Devontae Booker,DEN,RB,174,10.9,612,3.5,38.2,4,18,30,17.2,0,0,2,5,2,4,86.3
43,DeAngelo Williams,PIT,RB,98,10.9,343,3.5,38.1,4,17,20,20.4,0,0,0,7,0,3,113.3
44,Jerick McKinnon,MIN,RB,159,10.6,539,3.4,35.9,2,36,21,13.2,2,0,0,3,0,9,79.2
45,Theo Riddick,DET,RB,92,9.2,357,3.9,35.7,1,42,19,20.7,2,1,0,5,0,5,80.9
46,Tim Hightower,NO,RB,133,8.3,548,4.1,34.2,4,30,32,24.1,4,0,0,7,1,0,67.6
47,Giovani Bernard,CIN,RB,91,9.1,337,3.7,33.7,2,17,15,16.5,0,0,0,7,1,4,105.9
48,DeAndre Washington,OAK,RB,87,6.2,467,5.4,33.4,2,30,19,21.8,7,0,1,4,1,6,83.9
49,Derrick Henry,TEN,RB,110,7.3,490,4.5,32.7,5,22,29,26.4,1,0,0,3,1,5,71
50,Paul Perkins,NYG,RB,112,8,456,4.1,32.6,0,22,22,19.6,2,0,1,3,0,1,76.1
51,Kenneth Dixon,BAL,RB,88,7.3,382,4.3,31.8,2,20,26,29.5,1,0,1,,,,
52,Shane Vereen,NYG,RB,33,6.6,158,4.8,31.6,1,25,8,24.2,1,0,1,,,,
53,T.J. Yeldon,JAX,RB,130,8.7,465,3.6,31,1,16,21,16.2,0,0,2,,,,
54,Jalen Richard,OAK,RB,83,5.2,491,5.9,30.7,1,75T,14,16.9,5,1,0,,,,
55,Ty Montgomery,GB,RB,77,5.1,457,5.9,30.5,3,61,20,26,5,1,1,,,,
